PLAYER ID,0
PLAYER GENDER,1
EXPERIMENT START,2022-14-10--10-20-12
-
TRIAL DATA
-
TRIAL,CONDITION,SECONDARY AGENT,MAIN AGENT,JOIN 1,FINAL JOIN,FAR,CLARITY,FACE LOSS,POSITIVE FACE,NEGATIVE FACE
LATIN SQUARE ROW,4
1,,2,4,,,False,4,4,4,4
2,,3,2,,,False,4,4,4,4
3,,2,3,,,False,4,4,4,4
4,,4,3,,,False,4,4,4,4
5,,3,1,,,False,4,4,4,4
6,,1,4,,,False,4,4,4,4
7,,3,4,,,False,4,4,4,4
8,,2,3,,,False,4,4,4,4
9,,1,2,,,False,4,4,4,4
10,,4,2,,,False,4,4,4,4
11,,3,1,,,False,4,4,4,4
12,,1,4,,,False,4,4,4,4
EXPERIMENT END,2022-14-10--10-22-35
