PLAYER ID,999499
PLAYER GENDER,2
EXPERIMENT START,2024-27-3--17-33-21
-
TRIAL DATA
-
TRIAL,CONDITION,SECONDARY AGENT,MAIN AGENT,JOIN 1,FINAL JOIN,FAR,TIME
LATIN SQUARE ROW,4
1,,4,3,No Join,No Join,No Join,33.27402
2,,4,3,No Join,No Join,No Join,23.2775
3,,3,4,No Join,No Join,No Join,20.5764
4,,4,3,No Join,No Join,No Join,19.96383
5,,4,3,No Join,No Join,No Join,27.90001
6,,4,3,No Join,No Join,No Join,29.95424
7,,4,3,No Join,No Join,No Join,20.22133
8,,3,4,No Join,No Join,No Join,43.19928
9,,4,3,No Join,No Join,No Join,25.39425
10,,3,4,No Join,No Join,No Join,23.79322
EXPERIMENT END,2024-27-3--17-37-49
