PLAYER ID,0
PLAYER GENDER,2
EXPERIMENT START,2022-28-10--15-35-27
-
TRIAL DATA
-
LATIN SQUARE ROW,6
TRIAL,1
Condition ID,1
LATERAL(POS X),0
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0
LATERAL(ROT Z),0
LATERAL(FORWARD X),0
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),1
MAIN(POS X),0
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),0
MAIN(ROT Z),0
MAIN(FORWARD X),0
MAIN(FORWARD Y),0
MAIN(FORWARD Z),1
GROUP(POS X),-10
GROUP(POS Y),0
GROUP(POS Z),4.48
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10,0,5.5,0,1,0,0,0,-1
-11.29484,0,4.305338,0,-0.7911066,0,0.9647763,0.0723443,-0.2529288
-10,0,5.5,0,1,0,0,0,-1
-11.29436,0,4.30628,0,-0.7909855,0,0.9648702,0.07257564,-0.2525044
-10,0,5.5,0,1,0,0,0,-1
-11.29454,0,4.305523,0,-0.7912135,0,0.964695,0.07244477,-0.2532102
-10,0,5.5,0,1,0,0,0,-1
-11.29434,0,4.304816,0,-0.7914036,0,0.9645104,0.07290629,-0.2537808
-10,0,5.5,0,1,0,0,0,-1
-11.29412,0,4.304425,0,-0.7915562,0,0.964368,0.07321537,-0.254232
-10,0,5.5,0,1,0,0,0,-1
-11.29428,0,4.304424,0,-0.7915367,0,0.9643916,0.07312456,-0.254169
-10,0,5.5,0,1,0,0,0,-1
-11.29509,0,4.305154,0,-0.7913775,0,0.9646109,0.07185884,-0.2536975
-10,0,5.5,0,1,0,0,0,-1
-11.29535,0,4.305247,0,-0.7913953,0,0.9646352,0.07133592,-0.2537525
-10,0,5.5,0,1,0,0,0,-1
-11.29527,0,4.305246,0,-0.7915373,0,0.9645121,0.07156435,-0.2541558
-10,0,5.5,0,1,0,0,0,-1
-11.29497,0,4.30518,0,-0.7915261,0,0.9645047,0.0718516,-0.2541034
-10,0,5.5,0,1,0,0,0,-1
-11.29468,0,4.306092,0,-0.7912217,0,0.9647704,0.07165393,-0.2531478
-10,0,5.5,0,1,0,0,0,-1
-11.29467,0,4.307817,0,-0.7907172,0,0.9652234,0.07108903,-0.2515755
-10,0,5.5,0,1,0,0,0,-1
-11.2949,0,4.310209,0,-0.7902118,0,0.9657165,0.06996186,-0.2499941
-10,0,5.5,0,1,0,0,0,-1
-11.29427,0,4.312733,0,-0.789716,0,0.9661518,0.06961909,-0.2484032
-10,0,5.5,0,1,0,0,0,-1
-11.29494,0,4.315447,0,-0.7892451,0,0.9666557,0.06779619,-0.2469423
-10,0,5.5,0,1,0,0,0,-1
-11.29526,0,4.320882,0,-0.7880946,0,0.9677277,0.0654539,-0.2433497
-10,0,5.5,0,1,0,0,0,-1
-11.2955,0,4.322679,0,-0.7877015,0,0.9681016,0.06443278,-0.2421321
-10,0,5.5,0,1,0,0,0,-1
-11.2955,0,4.325294,0,-0.787185,0,0.9685783,0.06332438,-0.2405128
-10,0,5.5,0,1,0,0,0,-1
-11.2959,0,4.3282,0,-0.7866034,0,0.9691278,0.061728,-0.2387075
-10,0,5.5,0,1,0,0,0,-1
-11.29618,0,4.330933,0,-0.7859597,0,0.9697067,0.06025976,-0.2367229
-10,0,5.5,0,1,0,0,0,-1
-11.29712,0,4.333465,0,-0.7853225,0,0.9703141,0.0579574,-0.2348009
-10,0,5.5,0,1,0,0,0,-1
-11.2977,0,4.335353,0,-0.7847073,0,0.9708518,0.05639974,-0.232951
-10,0,5.5,0,1,0,0,0,-1
-11.29875,0,4.337434,0,-0.7841058,0,0.9714125,0.05403507,-0.2311667
-10,0,5.5,0,1,0,0,0,-1
-11.29974,0,4.340592,0,-0.7833836,0,0.9720708,0.05141133,-0.2289877
-10,0,5.5,0,1,0,0,0,-1
-11.30121,0,4.343219,0,-0.7827579,0,0.9726563,0.04846648,-0.2271365
-10,0,5.5,0,1,0,0,0,-1
-11.30291,0,4.344886,0,-0.782292,0,0.9731206,0.04517967,-0.2258215
-10,0,5.5,0,1,0,0,0,-1
-11.30394,0,4.346732,0,-0.7818277,0,0.9735467,0.0426994,-0.2244631
-10,0,5.5,0,1,0,0,0,-1
-11.30386,0,4.348524,0,-0.781541,0,0.9737959,0.04178651,-0.2235522
-10,0,5.5,0,1,0,0,0,-1
-11.30342,0,4.350984,0,-0.7811359,0,0.9741328,0.04081736,-0.2222593
-10,0,5.5,0,1,0,0,0,-1
-11.30261,0,4.353178,0,-0.7808551,0,0.9743527,0.04083001,-0.2212915
-10,0,5.5,0,1,0,0,0,-1
-11.30191,0,4.356336,0,-0.7805055,0,0.9746491,0.04020619,-0.220097
-10,0,5.5,0,1,0,0,0,-1
-11.30181,0,4.361009,0,-0.779862,0,0.9751901,0.03838123,-0.218017
