PLAYER ID,9
PLAYER GENDER,2
EXPERIMENT START,2022-08-11--11-36-54
-
TRIAL DATA
-
LATIN SQUARE ROW,3
TRIAL,1
Condition ID,1
LATERAL(POS X),-0.3999996
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0.7071068
LATERAL(ROT Z),0
LATERAL(FORWARD X),1
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),-1.192093E-07
MAIN(POS X),0.3999996
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),-0.7071068
MAIN(ROT Z),0
MAIN(FORWARD X),-1
MAIN(FORWARD Y),0
MAIN(FORWARD Z),-1.192093E-07
GROUP(POS X),-10
GROUP(POS Y),0
GROUP(POS Z),6.36
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10,0,5.5,0,1,0,0,0,-1
-9.409021,0,4.992081,0,-0.9975032,0,0.1259409,-0.05847025,-0.9903133
-10,0,5.5,0,1,0,0,0,-1
-9.409498,0,4.98893,0,-0.9976532,0,0.122232,-0.05720478,-0.9908516
-10,0,5.5,0,1,0,0,0,-1
-9.409878,0,4.988348,0,-0.9976792,0,0.1215245,-0.05700963,-0.9909498
-10,0,5.5,0,1,0,0,0,-1
-9.410336,0,4.987756,0,-0.9977098,0,0.1206669,-0.05683339,-0.9910648
-10,0,5.5,0,1,0,0,0,-1
-9.410176,0,4.986849,0,-0.9977546,0,0.1195142,-0.05654164,-0.9912213
-10,0,5.5,0,1,0,0,0,-1
-9.409693,0,4.986418,0,-0.9977785,0,0.1189688,-0.05633646,-0.9912985
-10,0,5.5,0,1,0,0,0,-1
-9.409211,0,4.985725,0,-0.9978036,0,0.1184532,-0.05594,-0.9913828
-10,0,5.5,0,1,0,0,0,-1
-9.408572,0,4.984111,0,-0.9978479,0,0.1176243,-0.05491061,-0.9915389
-10,0,5.5,0,1,0,0,0,-1
-9.407881,0,4.98212,0,-0.9978926,0,0.1168838,-0.05357849,-0.9916993
-10,0,5.5,0,1,0,0,0,-1
-9.407756,0,4.980302,0,-0.9979362,0,0.1160263,-0.05242833,-0.9918614
-10,0,5.5,0,1,0,0,0,-1
-9.407647,0,4.978114,0,-0.9979839,0,0.1150963,-0.05104635,-0.9920422
-10,0,5.5,0,1,0,0,0,-1
-9.407775,0,4.977254,0,-0.9980117,0,0.114316,-0.0507644,-0.9921467
-10,0,5.5,0,1,0,0,0,-1
-9.408673,0,4.976636,0,-0.9980345,0,0.1135437,-0.05067175,-0.99224
-10,0,5.5,0,1,0,0,0,-1
-9.408966,0,4.976756,0,-0.9980482,0,0.1128678,-0.0511776,-0.9922912
-10,0,5.5,0,1,0,0,0,-1
-9.409261,0,4.976629,0,-0.9980652,0,0.1122277,-0.05136057,-0.9923544
-10,0,5.5,0,1,0,0,0,-1
-9.40912,0,4.976796,0,-0.9980802,0,0.1115197,-0.05191253,-0.9924054
-10,0,5.5,0,1,0,0,0,-1
-9.408446,0,4.976075,0,-0.9981185,0,0.1102767,-0.05195744,-0.9925418
-10,0,5.5,0,1,0,0,0,-1
-9.407717,0,4.974688,0,-0.9981633,0,0.1090445,-0.05143366,-0.9927055
-10,0,5.5,0,1,0,0,0,-1
-9.4072,0,4.972803,0,-0.9982111,0,0.107852,-0.05047128,-0.9928851
-10,0,5.5,0,1,0,0,0,-1
-9.40756,0,4.966097,0,-0.9983198,0,0.1058639,-0.04606926,-0.9933127
-10,0,5.5,0,1,0,0,0,-1
-9.40836,0,4.961528,0,-0.9983863,0,0.1047273,-0.04283099,-0.9935784
-10,0,5.5,0,1,0,0,0,-1
-9.409197,0,4.956742,0,-0.9984436,0,0.1038847,-0.03935958,-0.9938105
-10,0,5.5,0,1,0,0,0,-1
-9.409513,0,4.952638,0,-0.9984974,0,0.1029016,-0.0364497,-0.9940236
-10,0,5.5,0,1,0,0,0,-1
-9.409411,0,4.948589,0,-0.9985562,0,0.1016157,-0.03369231,-0.9942532
