PLAYER ID,9
PLAYER GENDER,2
EXPERIMENT START,2022-08-11--11-52-33
-
TRIAL DATA
-
LATIN SQUARE ROW,7
TRIAL,1
Condition ID,1
LATERAL(POS X),-0.3999996
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0.7071068
LATERAL(ROT Z),0
LATERAL(FORWARD X),1
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),-1.192093E-07
MAIN(POS X),0.3999996
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),-0.7071068
MAIN(ROT Z),0
MAIN(FORWARD X),-1
MAIN(FORWARD Y),0
MAIN(FORWARD Z),-1.192093E-07
GROUP(POS X),-10
GROUP(POS Y),0
GROUP(POS Z),3
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10,0,5.5,0,1,0,0,0,-1
-9.274335,0,4.89499,0,-0.9990045,0,0.0756257,0.03775317,-0.9964213
-10,0,5.5,0,1,0,0,0,-1
-9.273429,0,4.895372,0,-0.9990097,0,0.07590066,0.03726859,-0.9964186
-10,0,5.5,0,1,0,0,0,-1
-9.273566,0,4.895373,0,-0.9990128,0,0.07587459,0.03704272,-0.9964292
-10,0,5.5,0,1,0,0,0,-1
-9.273851,0,4.895199,0,-0.9990167,0,0.0757602,0.03684483,-0.996445
-10,0,5.5,0,1,0,0,0,-1
-9.274367,0,4.894769,0,-0.9990256,0,0.07536194,0.0367516,-0.996479
-10,0,5.5,0,1,0,0,0,-1
-9.27447,0,4.894508,0,-0.9990357,0,0.07503432,0.036523,-0.9965119
-10,0,5.5,0,1,0,0,0,-1
-9.274332,0,4.893849,0,-0.9990512,0,0.07445405,0.03651991,-0.9965554
-10,0,5.5,0,1,0,0,0,-1
-9.274598,0,4.893352,0,-0.9990811,0,0.07335196,0.03611596,-0.9966522
-10,0,5.5,0,1,0,0,0,-1
-9.274646,0,4.892529,0,-0.999109,0,0.07224357,0.03592334,-0.9967402
-10,0,5.5,0,1,0,0,0,-1
-9.276318,0,4.890903,0,-0.9991596,0,0.06992976,0.03552708,-0.9969194
-10,0,5.5,0,1,0,0,0,-1
-9.278386,0,4.890384,0,-0.9991817,0,0.06876699,0.03497722,-0.9970195
-10,0,5.5,0,1,0,0,0,-1
-9.282659,0,4.890569,0,-0.9992343,0,0.06636817,0.03287116,-0.9972536
-10,0,5.5,0,1,0,0,0,-1
-9.283881,0,4.890918,0,-0.9992632,0,0.0652583,0.03171427,-0.9973646
-10,0,5.5,0,1,0,0,0,-1
-9.28429,0,4.891355,0,-0.9992958,0,0.06413592,0.03049266,-0.9974754
-10,0,5.5,0,1,0,0,0,-1
-9.28385,0,4.890923,0,-0.9993374,0,0.06252961,0.02981577,-0.9975976
-10,0,5.5,0,1,0,0,0,-1
-9.282881,0,4.890199,0,-0.9993755,0,0.06101772,0.02942197,-0.9977031
-10,0,5.5,0,1,0,0,0,-1
-9.281118,0,4.887902,0,-0.9994019,0,0.05961169,0.03042117,-0.997758
-10,0,5.5,0,1,0,0,0,-1
-9.280323,0,4.884736,0,-0.9994144,0,0.05834673,0.03217823,-0.9977777
-10,0,5.5,0,1,0,0,0,-1
-9.279797,0,4.88032,0,-0.9994051,0,0.05755524,0.0351177,-0.9977245
-10,0,5.5,0,1,0,0,0,-1
-9.279776,0,4.875916,0,-0.9993937,0,0.0566907,0.03800172,-0.9976684
-10,0,5.5,0,1,0,0,0,-1
-9.279883,0,4.871443,0,-0.9993724,0,0.05609206,0.04112373,-0.9975783
-10,0,5.5,0,1,0,0,0,-1
-9.280314,0,4.867298,0,-0.9993563,0,0.05525446,0.04384488,-0.9975093
-10,0,5.5,0,1,0,0,0,-1
-9.250139,0,4.940131,0,-0.9993559,0,0.0539571,0.04587442,-0.997489
-10,0,5.5,0,1,0,0,0,-1
-9.249699,0,4.936594,0,-0.9993572,0,0.05244963,0.04784457,-0.9974768
-10,0,5.5,0,1,0,0,0,-1
-9.251271,0,4.928038,0,-0.9993482,0,0.04883724,0.05248566,-0.9974266
-10,0,5.5,0,1,0,0,0,-1
-9.252619,0,4.923486,0,-0.9993287,0,0.04741992,0.05520128,-0.9973485
-10,0,5.5,0,1,0,0,0,-1
-9.254475,0,4.919022,0,-0.9993044,0,0.04611205,0.05793422,-0.9972552
-10,0,5.5,0,1,0,0,0,-1
-9.256614,0,4.914278,0,-0.9992699,0,0.0449757,0.06098664,-0.9971247
-10,0,5.5,0,1,0,0,0,-1
-9.258103,0,4.910021,0,-0.9992421,0,0.04379969,0.0635511,-0.9970171
-10,0,5.5,0,1,0,0,0,-1
-9.258941,0,4.905963,0,-0.9992183,0,0.04247683,0.0659627,-0.9969178
-10,0,5.5,0,1,0,0,0,-1
-9.259399,0,4.901138,0,-0.9991984,0,0.04039985,0.0685854,-0.9968268
-10,0,5.5,0,1,0,0,0,-1
-9.260345,0,4.894567,0,-0.9991632,0,0.03761661,0.07228892,-0.9966744
-10,0,5.5,0,1,0,0,0,-1
-9.26267,0,4.887046,0,-0.999112,0,0.03456333,0.07656275,-0.9964657
-10,0,5.5,0,1,0,0,0,-1
-9.266086,0,4.87875,0,-0.9990374,0,0.03163051,0.08151684,-0.9961699
-10,0,5.5,0,1,0,0,0,-1
-9.269443,0,4.870855,0,-0.9989506,0,0.02934292,0.08640294,-0.9958282
-10,0,5.5,0,1,0,0,0,-1
-9.272781,0,4.863502,0,-0.998862,0,0.02726153,0.09095895,-0.9954815
-10,0,5.5,0,1,0,0,0,-1
-9.244209,0,4.937829,0,-0.9987846,0,0.02501578,0.09486488,-0.9951759
-10,0,5.5,0,1,0,0,0,-1
-9.24754,0,4.926976,0,-0.9986625,0,0.0208439,0.100859,-0.9946825
-10,0,5.5,0,1,0,0,0,-1
-9.248965,0,4.921413,0,-0.9985983,0,0.01858334,0.1038288,-0.9944217
-10,0,5.5,0,1,0,0,0,-1
-9.251386,0,4.91566,0,-0.9985187,0,0.01658488,0.1071395,-0.9941057
-10,0,5.5,0,1,0,0,0,-1
-9.253307,0,4.910323,0,-0.9984312,0,0.01536884,0.1104682,-0.9937608
-10,0,5.5,0,1,0,0,0,-1
-9.255712,0,4.906073,0,-0.9983498,0,0.01484267,0.1133188,-0.9934479
-10,0,5.5,0,1,0,0,0,-1
-9.257283,0,4.902697,0,-0.9982737,0,0.0149812,0.1158327,-0.993156
-10,0,5.5,0,1,0,0,0,-1
-9.258463,0,4.900341,0,-0.9982231,0,0.01505437,0.1174627,-0.9929633
-10,0,5.5,0,1,0,0,0,-1
-9.258512,0,4.898536,0,-0.9981829,0,0.01526669,0.1187812,-0.9928033
-10,0,5.5,0,1,0,0,0,-1
-9.257813,0,4.896997,0,-0.9981569,0,0.01510886,0.1197369,-0.9926908
-10,0,5.5,0,1,0,0,0,-1
-9.256645,0,4.895703,0,-0.9981375,0,0.01496884,0.1204943,-0.9926012
-10,0,5.5,0,1,0,0,0,-1
-9.255467,0,4.894127,0,-0.9981043,0,0.01505739,0.1216475,-0.9924594
-10,0,5.5,0,1,0,0,0,-1
-9.254622,0,4.891902,0,-0.9980484,0,0.01540248,0.1234473,-0.9922317
-10,0,5.5,0,1,0,0,0,-1
-9.254337,0,4.889817,0,-0.9979787,0,0.01643359,0.1255075,-0.9919568
-10,0,5.5,0,1,0,0,0,-1
-9.254827,0,4.886625,0,-0.9978524,0,0.01899661,0.1289384,-0.9914708
-10,0,5.5,0,1,0,0,0,-1
-9.254151,0,4.885277,0,-0.9978011,0,0.02009273,0.1303249,-0.9912676
-10,0,5.5,0,1,0,0,0,-1
-9.253864,0,4.884228,0,-0.9977694,0,0.02064369,0.1312,-0.9911411
-10,0,5.5,0,1,0,0,0,-1
-9.252714,0,4.883372,0,-0.9977495,0,0.02094137,0.1318164,-0.991053
-10,0,5.5,0,1,0,0,0,-1
-9.251687,0,4.882309,0,-0.9977306,0,0.02093405,0.1324572,-0.990968
-10,0,5.5,0,1,0,0,0,-1
