PLAYER ID,9
PLAYER GENDER,2
EXPERIMENT START,2022-08-11--15-52-25
-
TRIAL DATA
-
LATIN SQUARE ROW,8
TRIAL,1
Condition ID,1
LATERAL(POS X),0
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0
LATERAL(ROT Z),0
LATERAL(FORWARD X),0
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),1
MAIN(POS X),0
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),0
MAIN(ROT Z),0
MAIN(FORWARD X),0
MAIN(FORWARD Y),0
MAIN(FORWARD Z),1
GROUP(POS X),-10
GROUP(POS Y),0
GROUP(POS Z),3
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10,0,5.5,0,1,0,0,0,-1
-8.341737,0,4.218684,0,-0.9989949,0,0.04012195,-0.0121969,-0.9991205
-10,0,5.5,0,1,0,0,0,-1
-8.341606,0,4.219323,0,-0.9989954,0,0.04020844,-0.0124433,-0.9991138
-10,0,5.5,0,1,0,0,0,-1
-8.341363,0,4.218989,0,-0.9989974,0,0.04028845,-0.01203108,-0.9991158
-10,0,5.5,0,1,0,0,0,-1
-8.341175,0,4.219039,0,-0.998997,0,0.04041017,-0.01184149,-0.9991132
-10,0,5.5,0,1,0,0,0,-1
-8.34121,0,4.218658,0,-0.9989975,0,0.0404609,-0.01135565,-0.9991167
-10,0,5.5,0,1,0,0,0,-1
-8.33966,0,4.218786,0,-0.9989989,0,0.04125297,-0.01041308,-0.9990945
-10,0,5.5,0,1,0,0,0,-1
-8.338858,0,4.218915,0,-0.9990107,0,0.04132989,-0.01035505,-0.999092
-10,0,5.5,0,1,0,0,0,-1
-8.337976,0,4.219127,0,-0.9990244,0,0.04140489,-0.01033606,-0.999089
-10,0,5.5,0,1,0,0,0,-1
-8.337734,0,4.219071,0,-0.9990383,0,0.04115706,-0.01047233,-0.9990979
-10,0,5.5,0,1,0,0,0,-1
-8.337379,0,4.218831,0,-0.9990555,0,0.0408395,-0.01057607,-0.9991099
-10,0,5.5,0,1,0,0,0,-1
-8.338046,0,4.218333,0,-0.9990644,0,0.04028023,-0.01077287,-0.9991305
-10,0,5.5,0,1,0,0,0,-1
-8.339311,0,4.217928,0,-0.9990594,0,0.03986901,-0.0108703,-0.999146
-10,0,5.5,0,1,0,0,0,-1
-8.340514,0,4.217596,0,-0.9990586,0,0.03934421,-0.01113153,-0.9991637
-10,0,5.5,0,1,0,0,0,-1
-8.341103,0,4.216561,0,-0.9990674,0,0.03888103,-0.0107487,-0.999186
-10,0,5.5,0,1,0,0,0,-1
-8.342028,0,4.215663,0,-0.9990709,0,0.03840171,-0.01048812,-0.9992073
-10,0,5.5,0,1,0,0,0,-1
-8.34312,0,4.214602,0,-0.999074,0,0.03790984,-0.01006095,-0.9992307
-10,0,5.5,0,1,0,0,0,-1
-8.343865,0,4.213893,0,-0.9990786,0,0.03746692,-0.009915096,-0.9992487
-10,0,5.5,0,1,0,0,0,-1
-8.344183,0,4.213422,0,-0.999079,0,0.03732529,-0.009654973,-0.9992567
-10,0,5.5,0,1,0,0,0,-1
-8.344454,0,4.213553,0,-0.9990772,0,0.03733737,-0.009648189,-0.9992562
-10,0,5.5,0,1,0,0,0,-1
-8.344491,0,4.213501,0,-0.9990793,0,0.03732673,-0.009540838,-0.9992577
-10,0,5.5,0,1,0,0,0,-1
-8.343754,0,4.214107,0,-0.9990856,0,0.03761766,-0.009532128,-0.9992466
-10,0,5.5,0,1,0,0,0,-1
-8.34307,0,4.215116,0,-0.9990889,0,0.03790726,-0.009925703,-0.9992322
-10,0,5.5,0,1,0,0,0,-1
-8.341894,0,4.215611,0,-0.9991038,0,0.03808771,-0.01001834,-0.9992243
-10,0,5.5,0,1,0,0,0,-1
-8.341178,0,4.215982,0,-0.9991114,0,0.03829416,-0.009978974,-0.999217
-10,0,5.5,0,1,0,0,0,-1
-8.340867,0,4.21589,0,-0.9991168,0,0.03831645,-0.009858582,-0.9992173
-10,0,5.5,0,1,0,0,0,-1
-8.34079,0,4.215919,0,-0.999121,0,0.03826698,-0.009890659,-0.9992187
-10,0,5.5,0,1,0,0,0,-1
-8.340963,0,4.216063,0,-0.9991335,0,0.03783918,-0.01039389,-0.9992298
-10,0,5.5,0,1,0,0,0,-1
-8.340494,0,4.216204,0,-0.9991512,0,0.03750229,-0.01084649,-0.9992376
-10,0,5.5,0,1,0,0,0,-1
-8.339392,0,4.215819,0,-0.9991956,0,0.03660877,-0.01151952,-0.9992633
-10,0,5.5,0,1,0,0,0,-1
-8.337952,0,4.214399,0,-0.999246,0,0.03563881,-0.01142679,-0.9992995
-10,0,5.5,0,1,0,0,0,-1
-8.336689,0,4.212255,0,-0.999293,0,0.0347085,-0.01071594,-0.9993401
-10,0,5.5,0,1,0,0,0,-1
-8.335834,0,4.210136,0,-0.9993172,0,0.0342673,-0.00954089,-0.9993673
-10,0,5.5,0,1,0,0,0,-1
-8.336045,0,4.208838,0,-0.9993146,0,0.0342469,-0.008563604,-0.9993768
-10,0,5.5,0,1,0,0,0,-1
-8.337366,0,4.207856,0,-0.9992815,0,0.03469029,-0.007385331,-0.9993709
-10,0,5.5,0,1,0,0,0,-1
-8.339448,0,4.207942,0,-0.9992391,0,0.03495535,-0.007389157,-0.9993616
-10,0,5.5,0,1,0,0,0,-1
-8.34096,0,4.208878,0,-0.999194,0,0.03554744,-0.007765813,-0.999338
-10,0,5.5,0,1,0,0,0,-1
-8.342205,0,4.209642,0,-0.9991657,0,0.0356698,-0.008611172,-0.9993267
-10,0,5.5,0,1,0,0,0,-1
-8.342645,0,4.209493,0,-0.9991645,0,0.03531962,-0.009284053,-0.9993329
-10,0,5.5,0,1,0,0,0,-1
-8.342333,0,4.20883,0,-0.9991808,0,0.03474315,-0.00987882,-0.9993474
-10,0,5.5,0,1,0,0,0,-1
-8.34183,0,4.20824,0,-0.99919,0,0.03456663,-0.01008039,-0.9993516
-10,0,5.5,0,1,0,0,0,-1
-8.342292,0,4.208021,0,-0.9991772,0,0.03459817,-0.01039806,-0.9993473
-10,0,5.5,0,1,0,0,0,-1
-8.342517,0,4.209005,0,-0.999146,0,0.03529551,-0.01098042,-0.9993168
-10,0,5.5,0,1,0,0,0,-1
-8.343367,0,4.210139,0,-0.9991103,0,0.03567513,-0.01219743,-0.999289
-10,0,5.5,0,1,0,0,0,-1
-8.343517,0,4.211968,0,-0.9990784,0,0.03621655,-0.01382316,-0.9992483
-10,0,5.5,0,1,0,0,0,-1
-8.34329,0,4.213542,0,-0.9990639,0,0.0364529,-0.01558921,-0.9992139
-10,0,5.5,0,1,0,0,0,-1
-8.342991,0,4.213968,0,-0.9990743,0,0.03584916,-0.01748074,-0.9992044
-10,0,5.5,0,1,0,0,0,-1
-8.342232,0,4.213816,0,-0.9990906,0,0.03543169,-0.01869559,-0.9991973
-10,0,5.5,0,1,0,0,0,-1
-8.342354,0,4.213699,0,-0.9990914,0,0.03507589,-0.01994858,-0.9991857
-10,0,5.5,0,1,0,0,0,-1
-8.342348,0,4.214147,0,-0.9990746,0,0.03531297,-0.02101922,-0.9991553
-10,0,5.5,0,1,0,0,0,-1
-8.343105,0,4.214558,0,-0.999037,0,0.03566315,-0.02209182,-0.9991198
-10,0,5.5,0,1,0,0,0,-1
-8.342384,0,4.216849,0,-0.9989981,0,0.03673397,-0.02385069,-0.9990405
-10,0,5.5,0,1,0,0,0,-1
-8.341762,0,4.219026,0,-0.9989614,0,0.03774117,-0.0255977,-0.9989596
-10,0,5.5,0,1,0,0,0,-1
-8.34137,0,4.221295,0,-0.9989372,0,0.03819303,-0.02804926,-0.9988767
-10,0,5.5,0,1,0,0,0,-1
-8.33983,0,4.224069,0,-0.9989277,0,0.03855738,-0.03115509,-0.9987706
-10,0,5.5,0,1,0,0,0,-1
-8.33853,0,4.225656,0,-0.9989237,0,0.03860942,-0.03375996,-0.9986839
-10,0,5.5,0,1,0,0,0,-1
-8.337083,0,4.227754,0,-0.9989195,0,0.03870228,-0.03679146,-0.9985734
-10,0,5.5,0,1,0,0,0,-1
-8.33647,0,4.229895,0,-0.9988936,0,0.03906719,-0.03959221,-0.9984519
-10,0,5.5,0,1,0,0,0,-1
-8.335682,0,4.233015,0,-0.998851,0,0.03984119,-0.0427048,-0.9982931
-10,0,5.5,0,1,0,0,0,-1
-8.334925,0,4.237478,0,-0.9987835,0,0.04114508,-0.04633059,-0.9980786
-10,0,5.5,0,1,0,0,0,-1
-8.333832,0,4.242138,0,-0.9987113,0,0.04273283,-0.04979024,-0.9978452
-10,0,5.5,0,1,0,0,0,-1
-8.32915,0,4.254229,0,-0.9985615,0,0.04621,-0.05866382,-0.9972079
-10,0,5.5,0,1,0,0,0,-1
-8.326499,0,4.260204,0,-0.9984922,0,0.04743668,-0.06399243,-0.9968225
-10,0,5.5,0,1,0,0,0,-1
-8.323917,0,4.266552,0,-0.9984101,0,0.04862927,-0.06970835,-0.9963815
-10,0,5.5,0,1,0,0,0,-1
-8.321733,0,4.270836,0,-0.9983533,0,0.04933202,-0.07421792,-0.9960211
-10,0,5.5,0,1,0,0,0,-1
-8.320189,0,4.273925,0,-0.9983006,0,0.05038237,-0.07717171,-0.9957439
-10,0,5.5,0,1,0,0,0,-1
-8.318835,0,4.276047,0,-0.9982573,0,0.05132622,-0.07940433,-0.9955203
-10,0,5.5,0,1,0,0,0,-1
-8.317892,0,4.276897,0,-0.9982315,0,0.05256962,-0.08002166,-0.9954061
-10,0,5.5,0,1,0,0,0,-1
-8.316984,0,4.27752,0,-0.9982055,0,0.0537768,-0.08053374,-0.9953004
-10,0,5.5,0,1,0,0,0,-1
-8.316845,0,4.276831,0,-0.9982009,0,0.0545984,-0.08028353,-0.9952757
-10,0,5.5,0,1,0,0,0,-1
-8.317886,0,4.274601,0,-0.9982116,0,0.05474437,-0.07957306,-0.9953248
-10,0,5.5,0,1,0,0,0,-1
-8.319382,0,4.27051,0,-0.9982527,0,0.0543521,-0.07796709,-0.9954736
-10,0,5.5,0,1,0,0,0,-1
